t, s(t), I, s(I)
001.92, 0.02, 5.4, 0.1  
004.33, 0.02, 5.3, 0.1
005.52, 0.02, 5.2, 0.1
007.12, 0.02, 5.1, 0.1
008.72, 0.02, 5.0, 0.1
009.93, 0.02, 4.9, 0.1
011.94, 0.02, 4.8, 0.1
013.13, 0.02, 4.7, 0.1
014.74, 0.02, 4.6, 0.1
015.92, 0.02, 4.5, 0.1
017.92, 0.02, 4.4, 0.1
019.53, 0.02, 4.3, 0.1
021.52, 0.02, 4.2, 0.1
022.72, 0.02, 4.1, 0.1
025.12, 0.02, 4.0, 0.1
026.73, 0.02, 3.9, 0.1
029.15, 0.02, 3.8, 0.1
031.12, 0.02, 3.7, 0.1
032.32, 0.02, 3.6, 0.1
034.72, 0.02, 3.5, 0.1
037.12, 0.02, 3.4, 0.1
038.70, 0.02, 3.3, 0.1
041.90, 0.02, 3.2, 0.1
043.51, 0.02, 3.1, 0.1
046.33, 0.02, 3.0, 0.1
048.72, 0.02, 2.9, 0.1
051.55, 0.02, 2.8, 0.1
053.90, 0.02, 2.7, 0.1
057.11, 0.02, 2.6, 0.1
059.51, 0.02, 2.5, 0.1
062.31, 0.02, 2.4, 0.1
065.12, 0.02, 2.3, 0.1
069.11, 0.02, 2.2, 0.1
072.30, 0.02, 2.1, 0.1
075.92, 0.02, 2.0, 0.1
080.30, 0.02, 1.9, 0.1
082.72, 0.02, 1.8, 0.1
087.91, 0.02, 1.7, 0.1
093.48, 0.02, 1.6, 0.1
096.30, 0.02, 1.5, 0.1
103.10, 0.02, 1.4, 0.1
109.51, 0.02, 1.3, 0.1
114.70, 0.02, 1.2, 0.1
121.09, 0.02, 1.1, 0.1
127.52, 0.02, 1.0, 0.1
135.08, 0.02, 0.9, 0.1
143.09, 0.02, 0.8, 0.1
154.27, 0.02, 0.7, 0.1
165.88, 0.02, 0.6, 0.1
177.88, 0.02, 0.5, 0.1
192.68, 0.02, 0.4, 0.1
204.67, 0.02, 0.3, 0.1
239.05, 0.02, 0.2, 0.1
296.64, 0.02, 0.1, 0.1
