t, s(t), I, s(I)
02.45, 0.05, 8.3, 0.1 
02.83, 0.05, 8.2, 0.1
03.20, 0.05, 7.8, 0.1
03.62, 0.05, 7.3, 0.1
04.02, 0.05, 6.7, 0.1
04.42, 0.05, 6.2, 0.1
04.82, 0.05, 5.6, 0.1
05.22, 0.05, 5.2, 0.1
05.62, 0.05, 4.8, 0.1
06.00, 0.05, 4.4, 0.1
06.43, 0.05, 4.0, 0.1
06.82, 0.05, 3.7, 0.1
07.22, 0.05, 3.4, 0.1
07.63, 0.05, 3.1, 0.1
08.03, 0.05, 2.9, 0.1
08.43, 0.05, 2.6, 0.1
08.84, 0.05, 2.4, 0.1
09.23, 0.05, 2.2, 0.1
09.64, 0.05, 2.0, 0.1
10.04, 0.05, 1.9, 0.1
10.44, 0.05, 1.7, 0.1
10.84, 0.05, 1.6, 0.1
11.23, 0.05, 1.5, 0.1
11.65, 0.05, 1.3, 0.1
12.02, 0.05, 1.2, 0.1
12.44, 0.05, 1.1, 0.1
13.24, 0.05, 1.0, 0.1
13.62, 0.05, 0.9, 0.1
14.05, 0.05, 0.8, 0.1
14.43, 0.05, 0.7, 0.1
15.21, 0.05, 0.6, 0.1
15.62, 0.05, 0.5, 0.1
16.83, 0.05, 0.4, 0.1
18.02, 0.05, 0.3, 0.1
19.23, 0.05, 0.2, 0.1
22.00, 0.05, 0.1, 0.1
