t, s(t), I, s(I)
03.87, 0.02, 1.7, 0.1 
04.66, 0.02, 1.6, 0.1
06.66, 0.02, 1.5, 0.1
08.66, 0.02, 1.4, 0.1
10.25, 0.02, 1.3, 0.1
14.26, 0.02, 1.2, 0.1
16.26, 0.02, 1.1, 0.1
19.87, 0.02, 1.0, 0.1
22.67, 0.02, 0.9, 0.1
26.68, 0.02, 0.8, 0.1
30.25, 0.02, 0.7, 0.1
35.46, 0.02, 0.6, 0.1
39.06, 0.02, 0.5, 0.1
49.85, 0.02, 0.4, 0.1
51.46, 0.02, 0.3, 0.1
66.64, 0.02, 0.2, 0.1
79.45, 0.02, 0.1, 0.1
