t, s(t), I, s(I)
03.73, 0.02, 1.1, 0.1   
07.73, 0.02, 1.0, 0.1
10.91, 0.02, 0.9, 0.1
16.91, 0.02, 0.8, 0.1
22.53, 0.02, 0.7, 0.1
31.32, 0.02, 0.6, 0.1
38.12, 0.02, 0.5, 0.1
48.10, 0.02, 0.4, 0.1
54.11, 0.02, 0.3, 0.1
72.89, 0.02, 0.2, 0.1
96.09, 0.02, 0.1, 0.1
