t, s(t), I, s(I)
02.26, 0.05, 5.4, 0.1 
03.02, 0.05, 5.3, 0.1
03.45, 0.05, 5.2, 0.1
04.26, 0.05, 5.1, 0.1
04.67, 0.05, 5.0, 0.1
05.03, 0.05, 4.9, 0.1
05.46, 0.05, 4.8, 0.1
05.84, 0.05, 4.7, 0.1
06.24, 0.05, 4.6, 0.1
06.63, 0.05, 4.5, 0.1
07.43, 0.05, 4.4, 0.1
07.83, 0.05, 4.3, 0.1
08.64, 0.05, 4.2, 0.1
09.05, 0.05, 4.1, 0.1
09.44, 0.05, 4.0, 0.1
09.84, 0.05, 3.9, 0.1
10.24, 0.05, 3.8, 0.1
11.05, 0.05, 3.7, 0.1
11.44, 0.05, 3.6, 0.1
12.24, 0.05, 3.5, 0.1
13.05, 0.05, 3.4, 0.1
13.45, 0.05, 3.3, 0.1
14.26, 0.05, 3.2, 0.1
14.66, 0.05, 3.1, 0.1
15.45, 0.05, 3.0, 0.1
15.82, 0.05, 2.9, 0.1
16.67, 0.05, 2.8, 0.1
17.43, 0.05, 2.7, 0.1
18.64, 0.05, 2.6, 0.1
19.45, 0.05, 2.5, 0.1
20.23, 0.05, 2.4, 0.1
21.04, 0.05, 2.3, 0.1
22.65, 0.05, 2.2, 0.1
23.45, 0.05, 2.1, 0.1
24.26, 0.05, 2.0, 0.1
25.02, 0.05, 1.9, 0.1
26.26, 0.05, 1.8, 0.1
27.43, 0.05, 1.7, 0.1
29.03, 0.05, 1.6, 0.1
30.23, 0.05, 1.5, 0.1
31.44, 0.05, 1.4, 0.1
33.03, 0.05, 1.3, 0.1
35.01, 0.05, 1.2, 0.1
36.22, 0.05, 1.1, 0.1
38.63, 0.05, 1.0, 0.1
40.22, 0.05, 0.9, 0.1
42.64, 0.05, 0.8, 0.1
45.84, 0.05, 0.7, 0.1
49.82, 0.05, 0.6, 0.1
52.64, 0.05, 0.5, 0.1
57.45, 0.05, 0.4, 0.1
61.42, 0.05, 0.3, 0.1
69.42, 0.05, 0.2, 0.1
79.80, 0.05, 0.1, 0.1
