t, s(t), I, s(I)
24.03, 0.2, 5.3, 0.1 
24.47, 0.2, 5.2, 0.1
25.23, 0.2, 5.0, 0.1
25.53, 0.2, 4.8, 0.1
26.13, 0.2, 4.6, 0.1
26.57, 0.2, 4.4, 0.1
26.87, 0.2, 4.3, 0.1
27.23, 0.2, 4.1, 0.1
27.73, 0.2, 3.9, 0.1
28.07, 0.2, 3.8, 0.1
28.47, 0.2, 3.7, 0.1
28.71, 0.2, 3.5, 0.1
29.25, 0.2, 3.4, 0.1
29.53, 0.2, 3.3, 0.1
30.17, 0.2, 3.1, 0.1
30.47, 0.2, 3.0, 0.1
30.77, 0.2, 2.9, 0.1
31.25, 0.2, 2.8, 0.1
31.53, 0.2, 2.7, 0.1
32.05, 0.2, 2.6, 0.1
32.47, 0.2, 2.5, 0.1
32.77, 0.2, 2.4, 0.1
33.25, 0.2, 2.3, 0.1
33.53, 0.2, 2.2, 0.1
34.31, 0.2, 2.1, 0.1
34.87, 0.2, 2.0, 0.1
35.29, 0.2, 1.9, 0.1
35.77, 0.2, 1.8, 0.1
36.47, 0.2, 1.7, 0.1
37.29, 0.2, 1.6, 0.1
37.73, 0.2, 1.5, 0.1
38.47, 0.2, 1.4, 0.1
39.23, 0.2, 1.3, 0.1
40.03, 0.2, 1.2, 0.1
40.97, 0.2, 1.1, 0.1
42.17, 0.2, 1.0, 0.1
43.13, 0.2, 0.9, 0.1
44.47, 0.2, 0.8, 0.1
45.29, 0.2, 0.7, 0.1
46.53, 0.2, 0.6, 0.1
48.47, 0.2, 0.5, 0.1
51.23, 0.2, 0.4, 0.1
53.29, 0.2, 0.3, 0.1
56.73, 0.2, 0.2, 0.1
61.29, 0.2, 0.1, 0.1

