t, s(t), I, s(I)
02.54, 0.05, 10.7, 0.1 
02.96, 0.05, 10.5, 0.1
03.55, 0.05, 10.0, 0.1
03.75, 0.05, 09.4, 0.1
04.16, 0.05, 08.6, 0.1
04.55, 0.05, 07.9, 0.1
04.95, 0.05, 07.2, 0.1
05.35, 0.05, 06.6, 0.1
05.74, 0.05, 06.1, 0.1
06.15, 0.05, 05.6, 0.1
06.55, 0.05, 05.2, 0.1
06.95, 0.05, 04.5, 0.1
07.36, 0.05, 04.1, 0.1
07.75, 0.05, 03.8, 0.1
08.16, 0.05, 03.5, 0.1
08.55, 0.05, 03.4, 0.1
08.96, 0.05, 03.1, 0.1
09.36, 0.05, 02.8, 0.1
09.75, 0.05, 02.5, 0.1
10.16, 0.05, 02.3, 0.1
10.56, 0.05, 02.1, 0.1
10.97, 0.05, 02.0, 0.1
11.37, 0.05, 01.9, 0.1
11.74, 0.05, 01.7, 0.1
12.16, 0.05, 01.6, 0.1
12.52, 0.05, 01.5, 0.1
12.97, 0.05, 01.3, 0.1
13.36, 0.05, 01.2, 0.1
13.77, 0.05, 01.1, 0.1
14.16, 0.05, 01.0, 0.1
14.93, 0.05, 00.9, 0.1
15.38, 0.05, 00.8, 0.1
15.75, 0.05, 00.7, 0.1
16.58, 0.05, 00.6, 0.1
17.35, 0.05, 00.5, 0.1
18.54, 0.05, 00.4, 0.1
19.35, 0.05, 00.3, 0.1
20.95, 0.05, 00.2, 0.1
22.96, 0.05, 00.1, 0.1
