t, s(t), I, s(I)
02.53, 0.05, 11.5, 0.1 
02.93, 0.05, 11.2, 0.1
03.34, 0.05, 10.8, 0.1
03.73, 0.05, 10.1, 0.1
04.15, 0.05, 09.2, 0.1
04.53, 0.05, 08.5, 0.1
04.94, 0.05, 07.8, 0.1
05.31, 0.05, 07.2, 0.1
05.75, 0.05, 06.6, 0.1
06.15, 0.05, 06.0, 0.1
06.55, 0.05, 05.5, 0.1
06.91, 0.05, 05.1, 0.1
07.35, 0.05, 04.7, 0.1
07.75, 0.05, 04.3, 0.1
08.15, 0.05, 04.0, 0.1
08.53, 0.05, 03.7, 0.1
08.95, 0.05, 03.4, 0.1
09.35, 0.05, 03.1, 0.1
09.76, 0.05, 02.9, 0.1
10.13, 0.05, 02.6, 0.1
10.52, 0.05, 02.4, 0.1
10.93, 0.05, 02.2, 0.1
11.36, 0.05, 02.0, 0.1
11.73, 0.05, 01.9, 0.1
12.14, 0.05, 01.7, 0.1
12.53, 0.05, 01.6, 0.1
12.93, 0.05, 01.5, 0.1
13.33, 0.05, 01.3, 0.1
13.74, 0.05, 01.2, 0.1
14.14, 0.05, 01.1, 0.1
14.54, 0.05, 01.0, 0.1
15.34, 0.05, 00.9, 0.1
15.74, 0.05, 00.8, 0.1
16.10, 0.05, 00.7, 0.1
16.94, 0.05, 00.6, 0.1
17.71, 0.05, 00.5, 0.1
18.91, 0.05, 00.4, 0.1
19.71, 0.05, 00.3, 0.1
20.93, 0.05, 00.2, 0.1
22.93, 0.05, 00.1, 0.1

